Fecha,IPC,Variacion mensual,Variacion anio corrido,Variacion anual
1954-07,0.03,0,0,0
1954-08,0.03,-0.0076,-0.0076,0
1954-09,0.03,-0.0137,-0.0212,0
1954-10,0.03,0.0034,-0.0179,0
1954-11,0.03,0.0027,-0.0152,0
1954-12,0.03,0.0054,-0.01,0
1955-01,0.03,-0.0017,-0.0017,0
1955-02,0.03,-0.0007,-0.0023,0
1955-03,0.03,0.004,0.0017,0
1955-04,0.03,0.007,0.0087,0
1955-05,0.03,-0.0043,0.0043,0
1955-06,0.03,-0.0007,0.0037,0
1955-07,0.03,-0.0023,0.0013,-0.0087
1955-08,0.03,0.001,0.0023,-0.0001
1955-09,0.03,-0.0053,-0.003,0.0084
1955-10,0.03,0.0027,-0.0004,0.0077
1955-11,0.03,0.0094,0.009,0.0144
1955-12,0.03,0.0112,0.0203,0.0203
1956-01,0.03,-0.001,-0.001,0.021
1956-02,0.03,0.0039,0.0029,0.0257
1956-03,0.03,0.0091,0.0121,0.031
1956-04,0.03,0.0065,0.0186,0.0304
1956-05,0.03,0.0074,0.0262,0.0425
1956-06,0.03,0.0092,0.0356,0.0528
1956-07,0.03,0.0079,0.0438,0.0636
1956-08,0.03,-0.0047,0.0389,0.0576
1956-09,0.03,0.0088,0.0481,0.0726
1956-10,0.03,0.0125,0.0611,0.0831
1956-11,0.03,0.0142,0.0762,0.0883
1956-12,0.03,0.0027,0.0791,0.0791
1957-01,0.03,0.0118,0.0118,0.093
1957-02,0.03,0.0132,0.0252,0.103
1957-03,0.03,0.0174,0.043,0.1121
1957-04,0.03,0.0224,0.0664,0.1297
1957-05,0.03,0.0128,0.08,0.1358
1957-06,0.03,0.041,0.1243,0.1715
1957-07,0.03,0.0272,0.1549,0.1939
1957-08,0.03,0.0123,0.1691,0.2143
1957-09,0.03,0.0046,0.1745,0.2093
1957-10,0.03,0.0144,0.1915,0.2117
1957-11,0.03,0.0031,0.1951,0.1984
1957-12,0.03,0.0099,0.2069,0.2069
1958-01,0.03,0.0015,0.0015,0.1946
1958-02,0.03,0.0012,0.0028,0.1805
1958-03,0.04,0.0158,0.0186,0.1786
1958-04,0.04,0.017,0.0359,0.1724
1958-05,0.04,0.0199,0.0565,0.1806
1958-06,0.04,0.0043,0.061,0.139
1958-07,0.04,0.0009,0.062,0.1099
