Fecha (dd/mm/aaaa),Pesos colombianos por UVR,Variación diaria porcentual,Variación mensual porcentual,Variación anual porcentual,Variación año corrido porcentual
15/05/2022,304.1363,,,0.0853,
14/05/2022,304.0354,,,0.0851,
13/05/2022,303.9346,,,0.0849,
12/05/2022,303.8338,,,0.0848,
11/05/2022,303.733,,,0.0846,
10/05/2022,303.6323,,,0.0844,
09/05/2022,303.5316,,,0.0842,
08/05/2022,303.4309,,,0.0841,
07/05/2022,303.3303,,,0.0839,
06/05/2022,303.2297,,,0.0837,
05/05/2022,303.1292,,,0.0835,
04/05/2022,303.0286,,,0.0834,
03/05/2022,302.9282,,,0.0832,
02/05/2022,302.8277,,,0.083,
01/05/2022,302.7273,,,0.0828,
30/04/2022,302.6269,,,0.0827,
29/04/2022,302.5265,,,0.0825,
28/04/2022,302.4262,,,0.0823,
27/04/2022,302.3259,,,0.0821,
26/04/2022,302.2256,,,0.082,
25/04/2022,302.1254,,,0.0818,
24/04/2022,302.0252,,,0.0816,
23/04/2022,301.9251,,,0.0814,
22/04/2022,301.8249,,,0.0813,
21/04/2022,301.7249,,,0.0811,
20/04/2022,301.6248,,,0.0809,
19/04/2022,301.5248,,,0.0807,
18/04/2022,301.4248,,,0.0806,
17/04/2022,301.3248,,,0.0804,
16/04/2022,301.2249,,,0.0802,
15/04/2022,301.125,,,0.08,
14/04/2022,300.968,,,0.0797,
13/04/2022,300.8111,,,0.0793,
12/04/2022,300.6542,,,0.079,
11/04/2022,300.4974,,,0.0787,
10/04/2022,300.3408,,,0.0783,
09/04/2022,300.1841,,,0.078,
08/04/2022,300.0276,,,0.0776,
07/04/2022,299.8712,,,0.0773,
06/04/2022,299.7148,,,0.077,
05/04/2022,299.5585,,,0.0766,
04/04/2022,299.4023,,,0.0763,
03/04/2022,299.2462,,,0.0759,
02/04/2022,299.0902,,,0.0756,
01/04/2022,298.9342,,,0.0753,
31/03/2022,298.7784,,,0.0749,
30/03/2022,298.6226,,,0.0746,
29/03/2022,298.4668,,,0.0742,
28/03/2022,298.3112,,,0.0739,
27/03/2022,298.1557,,,0.0736,
26/03/2022,298.0002,,,0.0732,
25/03/2022,297.8448,,,0.0729,
24/03/2022,297.6895,,,0.0726,
23/03/2022,297.5343,,,0.0722,
22/03/2022,297.3791,,,0.0719,
21/03/2022,297.2241,,,0.0715,
20/03/2022,297.0691,,,0.0712,
19/03/2022,296.9142,,,0.0709,
18/03/2022,296.7594,,,0.0705,
17/03/2022,296.6046,,,0.0702,
16/03/2022,296.45,,,0.0698,
15/03/2022,296.2954,,,0.0695,
14/03/2022,296.1201,,,0.069,
13/03/2022,295.945,,,0.0686,
12/03/2022,295.77,,,0.0681,
11/03/2022,295.5951,,,0.0676,
10/03/2022,295.4204,,,0.0671,
09/03/2022,295.2457,,,0.0667,
08/03/2022,295.0711,,,0.0662,
07/03/2022,294.8966,,,0.0657,
06/03/2022,294.7222,,,0.0652,
